TOP.609bd0b0.00074cc9	START
TOP.609bd0b0.00074cc9	user_options->brain_port	6863
TOP.609bd0b0.00074cc9	user_options->brain_session	0
TOP.609bd0b0.00074cc9	hashes->hashlist_mode	2
TOP.609bd0b0.00074cc9	hashes->hashlist_format	0
TOP.609bd0b0.00074cc9	hashes->hashes_cnt	0
TOP.609bd0b0.00074cc9	hashes->digests_cnt	1
TOP.609bd0b0.00074cc9	hashes->digests_done	0
TOP.609bd0b0.00074cc9	hashes->salts_cnt	1
TOP.609bd0b0.00074cc9	hashes->salts_done	0
TOP.609bd19c.00007772	START
TOP.609bd19c.00007772	folder_config->cwd	E:\大学\大二下\网络安全攻防实践（二）\5\hashcat-6.1.1
TOP.609bd19c.00007772	folder_config->install_dir	.
TOP.609bd19c.00007772	folder_config->profile_dir	.
TOP.609bd19c.00007772	folder_config->session_dir	.
TOP.609bd19c.00007772	folder_config->shared_dir	.
TOP.609bd19c.00007772	user_options->separator	:
TOP.609bd19c.00007772	user_options->encoding_from	utf-8
TOP.609bd19c.00007772	user_options->encoding_to	utf-8
TOP.609bd19c.00007772	user_options->rule_buf_l	:
TOP.609bd19c.00007772	user_options->rule_buf_r	:
TOP.609bd19c.00007772	user_options->session	hashcat
TOP.609bd19c.00007772	user_options->limit	0
TOP.609bd19c.00007772	user_options->skip	0
TOP.609bd19c.00007772	user_options->attack_mode	3
TOP.609bd19c.00007772	user_options->benchmark	0
TOP.609bd19c.00007772	user_options->benchmark_all	0
TOP.609bd19c.00007772	user_options->bitmap_max	18
TOP.609bd19c.00007772	user_options->bitmap_min	16
TOP.609bd19c.00007772	user_options->debug_mode	0
TOP.609bd19c.00007772	user_options->example_hashes	0
TOP.609bd19c.00007772	user_options->force	1
TOP.609bd19c.00007772	user_options->hwmon_disable	0
TOP.609bd19c.00007772	user_options->hwmon_temp_abort	90
TOP.609bd19c.00007772	user_options->hash_mode	100
TOP.609bd19c.00007772	user_options->hex_charset	0
TOP.609bd19c.00007772	user_options->hex_salt	0
TOP.609bd19c.00007772	user_options->hex_wordlist	0
TOP.609bd19c.00007772	user_options->hook_threads	6
TOP.609bd19c.00007772	user_options->increment	0
TOP.609bd19c.00007772	user_options->increment_max	256
TOP.609bd19c.00007772	user_options->increment_min	1
TOP.609bd19c.00007772	user_options->keep_guessing	0
TOP.609bd19c.00007772	user_options->kernel_accel	0
TOP.609bd19c.00007772	user_options->kernel_loops	0
TOP.609bd19c.00007772	user_options->kernel_threads	0
TOP.609bd19c.00007772	user_options->keyspace	0
TOP.609bd19c.00007772	user_options->left	0
TOP.609bd19c.00007772	user_options->logfile_disable	0
TOP.609bd19c.00007772	user_options->loopback	0
TOP.609bd19c.00007772	user_options->machine_readable	0
TOP.609bd19c.00007772	user_options->markov_classic	0
TOP.609bd19c.00007772	user_options->markov_disable	0
TOP.609bd19c.00007772	user_options->markov_threshold	256
TOP.609bd19c.00007772	user_options->backend_info	0
TOP.609bd19c.00007772	user_options->backend_vector_width	0
TOP.609bd19c.00007772	user_options->optimized_kernel_enable	0
TOP.609bd19c.00007772	user_options->outfile_autohex	1
TOP.609bd19c.00007772	user_options->outfile_check_timer	5
TOP.609bd19c.00007772	user_options->outfile_format	3
TOP.609bd19c.00007772	user_options->wordlist_autohex_disable	0
TOP.609bd19c.00007772	user_options->potfile_disable	0
TOP.609bd19c.00007772	user_options->progress_only	0
TOP.609bd19c.00007772	user_options->quiet	0
TOP.609bd19c.00007772	user_options->remove	0
TOP.609bd19c.00007772	user_options->remove_timer	60
TOP.609bd19c.00007772	user_options->restore	0
TOP.609bd19c.00007772	user_options->restore_disable	0
TOP.609bd19c.00007772	user_options->restore_timer	60
TOP.609bd19c.00007772	user_options->rp_files_cnt	0
TOP.609bd19c.00007772	user_options->rp_gen	0
TOP.609bd19c.00007772	user_options->rp_gen_func_max	4
TOP.609bd19c.00007772	user_options->rp_gen_func_min	1
TOP.609bd19c.00007772	user_options->rp_gen_seed	0
TOP.609bd19c.00007772	user_options->runtime	0
TOP.609bd19c.00007772	user_options->scrypt_tmto	0
TOP.609bd19c.00007772	user_options->segment_size	33554432
TOP.609bd19c.00007772	user_options->self_test_disable	0
TOP.609bd19c.00007772	user_options->slow_candidates	0
TOP.609bd19c.00007772	user_options->show	0
TOP.609bd19c.00007772	user_options->speed_only	0
TOP.609bd19c.00007772	user_options->spin_damp	0
TOP.609bd19c.00007772	user_options->status	0
TOP.609bd19c.00007772	user_options->status_json	0
TOP.609bd19c.00007772	user_options->status_timer	10
TOP.609bd19c.00007772	user_options->stdout_flag	0
TOP.609bd19c.00007772	user_options->usage	0
TOP.609bd19c.00007772	user_options->username	0
TOP.609bd19c.00007772	user_options->veracrypt_pim_start	485
TOP.609bd19c.00007772	user_options->veracrypt_pim_stop	485
TOP.609bd19c.00007772	user_options->version	0
TOP.609bd19c.00007772	user_options->workload_profile	2
TOP.609bd19c.00007772	user_options->brain_client	0
TOP.609bd19c.00007772	user_options->brain_client_features	2
TOP.609bd19c.00007772	user_options->brain_server	0
TOP.609bd19c.00007772	user_options->brain_server_timer	300
TOP.609bd19c.00007772	user_options->brain_port	6863
TOP.609bd19c.00007772	user_options->brain_session	0
TOP.609bd19c.00007772	hashes->hashlist_mode	2
TOP.609bd19c.00007772	hashes->hashlist_format	0
TOP.609bd19c.00007772	hashes->hashes_cnt	0
TOP.609bd19c.00007772	hashes->digests_cnt	1
TOP.609bd19c.00007772	hashes->digests_done	0
TOP.609bd19c.00007772	hashes->salts_cnt	1
TOP.609bd19c.00007772	hashes->salts_done	0
TOP.609bd2d8.000abcea	START
TOP.609bd2d8.000abcea	folder_config->cwd	E:\大学\大二下\网络安全攻防实践（二）\5\hashcat-6.1.1
TOP.609bd2d8.000abcea	folder_config->install_dir	.
TOP.609bd2d8.000abcea	folder_config->profile_dir	.
TOP.609bd2d8.000abcea	folder_config->session_dir	.
TOP.609bd2d8.000abcea	folder_config->shared_dir	.
TOP.609bd2d8.000abcea	user_options->separator	:
TOP.609bd2d8.000abcea	user_options->encoding_from	utf-8
TOP.609bd2d8.000abcea	user_options->encoding_to	utf-8
TOP.609bd2d8.000abcea	user_options->rule_buf_l	:
TOP.609bd2d8.000abcea	user_options->rule_buf_r	:
TOP.609bd2d8.000abcea	user_options->session	hashcat
TOP.609bd2d8.000abcea	user_options->limit	0
TOP.609bd2d8.000abcea	user_options->skip	0
TOP.609bd2d8.000abcea	user_options->attack_mode	3
TOP.609bd2d8.000abcea	user_options->benchmark	0
TOP.609bd2d8.000abcea	user_options->benchmark_all	0
TOP.609bd2d8.000abcea	user_options->bitmap_max	18
TOP.609bd2d8.000abcea	user_options->bitmap_min	16
TOP.609bd2d8.000abcea	user_options->debug_mode	0
TOP.609bd2d8.000abcea	user_options->example_hashes	0
TOP.609bd2d8.000abcea	user_options->force	1
TOP.609bd2d8.000abcea	user_options->hwmon_disable	0
TOP.609bd2d8.000abcea	user_options->hwmon_temp_abort	90
TOP.609bd2d8.000abcea	user_options->hash_mode	100
TOP.609bd2d8.000abcea	user_options->hex_charset	0
TOP.609bd2d8.000abcea	user_options->hex_salt	0
TOP.609bd2d8.000abcea	user_options->hex_wordlist	0
TOP.609bd2d8.000abcea	user_options->hook_threads	6
TOP.609bd2d8.000abcea	user_options->increment	0
TOP.609bd2d8.000abcea	user_options->increment_max	256
TOP.609bd2d8.000abcea	user_options->increment_min	1
TOP.609bd2d8.000abcea	user_options->keep_guessing	0
TOP.609bd2d8.000abcea	user_options->kernel_accel	0
TOP.609bd2d8.000abcea	user_options->kernel_loops	0
TOP.609bd2d8.000abcea	user_options->kernel_threads	0
TOP.609bd2d8.000abcea	user_options->keyspace	0
TOP.609bd2d8.000abcea	user_options->left	0
TOP.609bd2d8.000abcea	user_options->logfile_disable	0
TOP.609bd2d8.000abcea	user_options->loopback	0
TOP.609bd2d8.000abcea	user_options->machine_readable	0
TOP.609bd2d8.000abcea	user_options->markov_classic	0
TOP.609bd2d8.000abcea	user_options->markov_disable	0
TOP.609bd2d8.000abcea	user_options->markov_threshold	256
TOP.609bd2d8.000abcea	user_options->backend_info	0
TOP.609bd2d8.000abcea	user_options->backend_vector_width	0
TOP.609bd2d8.000abcea	user_options->optimized_kernel_enable	0
TOP.609bd2d8.000abcea	user_options->outfile_autohex	1
TOP.609bd2d8.000abcea	user_options->outfile_check_timer	5
TOP.609bd2d8.000abcea	user_options->outfile_format	3
TOP.609bd2d8.000abcea	user_options->wordlist_autohex_disable	0
TOP.609bd2d8.000abcea	user_options->potfile_disable	0
TOP.609bd2d8.000abcea	user_options->progress_only	0
TOP.609bd2d8.000abcea	user_options->quiet	0
TOP.609bd2d8.000abcea	user_options->remove	0
TOP.609bd2d8.000abcea	user_options->remove_timer	60
TOP.609bd2d8.000abcea	user_options->restore	0
TOP.609bd2d8.000abcea	user_options->restore_disable	0
TOP.609bd2d8.000abcea	user_options->restore_timer	60
TOP.609bd2d8.000abcea	user_options->rp_files_cnt	0
TOP.609bd2d8.000abcea	user_options->rp_gen	0
TOP.609bd2d8.000abcea	user_options->rp_gen_func_max	4
TOP.609bd2d8.000abcea	user_options->rp_gen_func_min	1
TOP.609bd2d8.000abcea	user_options->rp_gen_seed	0
TOP.609bd2d8.000abcea	user_options->runtime	0
TOP.609bd2d8.000abcea	user_options->scrypt_tmto	0
TOP.609bd2d8.000abcea	user_options->segment_size	33554432
TOP.609bd2d8.000abcea	user_options->self_test_disable	0
TOP.609bd2d8.000abcea	user_options->slow_candidates	0
TOP.609bd2d8.000abcea	user_options->show	0
TOP.609bd2d8.000abcea	user_options->speed_only	0
TOP.609bd2d8.000abcea	user_options->spin_damp	0
TOP.609bd2d8.000abcea	user_options->status	0
TOP.609bd2d8.000abcea	user_options->status_json	0
TOP.609bd2d8.000abcea	user_options->status_timer	10
TOP.609bd2d8.000abcea	user_options->stdout_flag	0
TOP.609bd2d8.000abcea	user_options->usage	0
TOP.609bd2d8.000abcea	user_options->username	0
TOP.609bd2d8.000abcea	user_options->veracrypt_pim_start	485
TOP.609bd2d8.000abcea	user_options->veracrypt_pim_stop	485
TOP.609bd2d8.000abcea	user_options->version	0
TOP.609bd2d8.000abcea	user_options->workload_profile	2
TOP.609bd2d8.000abcea	user_options->brain_client	0
TOP.609bd2d8.000abcea	user_options->brain_client_features	2
TOP.609bd2d8.000abcea	user_options->brain_server	0
TOP.609bd2d8.000abcea	user_options->brain_server_timer	300
TOP.609bd2d8.000abcea	user_options->brain_port	6863
TOP.609bd2d8.000abcea	user_options->brain_session	0
TOP.609bd2d8.000abcea	hashes->hashlist_mode	2
TOP.609bd2d8.000abcea	hashes->hashlist_format	0
TOP.609bd2d8.000abcea	hashes->hashes_cnt	0
TOP.609bd2d8.000abcea	hashes->digests_cnt	1
TOP.609bd2d8.000abcea	hashes->digests_done	0
TOP.609bd2d8.000abcea	hashes->salts_cnt	1
TOP.609bd2d8.000abcea	hashes->salts_done	0
TOP.609bd551.0000f6f0	START
TOP.609bd551.0000f6f0	folder_config->cwd	E:\大学\大二下\网络安全攻防实践（二）\5\hashcat-6.1.1
TOP.609bd551.0000f6f0	folder_config->install_dir	.
TOP.609bd551.0000f6f0	folder_config->profile_dir	.
TOP.609bd551.0000f6f0	folder_config->session_dir	.
TOP.609bd551.0000f6f0	folder_config->shared_dir	.
TOP.609bd551.0000f6f0	user_options->separator	:
TOP.609bd551.0000f6f0	user_options->encoding_from	utf-8
TOP.609bd551.0000f6f0	user_options->encoding_to	utf-8
TOP.609bd551.0000f6f0	user_options->rule_buf_l	:
TOP.609bd551.0000f6f0	user_options->rule_buf_r	:
TOP.609bd551.0000f6f0	user_options->session	hashcat
TOP.609bd551.0000f6f0	user_options->limit	0
TOP.609bd551.0000f6f0	user_options->skip	0
TOP.609bd551.0000f6f0	user_options->attack_mode	3
TOP.609bd551.0000f6f0	user_options->benchmark	0
TOP.609bd551.0000f6f0	user_options->benchmark_all	0
TOP.609bd551.0000f6f0	user_options->bitmap_max	18
TOP.609bd551.0000f6f0	user_options->bitmap_min	16
TOP.609bd551.0000f6f0	user_options->debug_mode	0
TOP.609bd551.0000f6f0	user_options->example_hashes	0
TOP.609bd551.0000f6f0	user_options->force	1
TOP.609bd551.0000f6f0	user_options->hwmon_disable	0
TOP.609bd551.0000f6f0	user_options->hwmon_temp_abort	90
TOP.609bd551.0000f6f0	user_options->hash_mode	100
TOP.609bd551.0000f6f0	user_options->hex_charset	0
TOP.609bd551.0000f6f0	user_options->hex_salt	0
TOP.609bd551.0000f6f0	user_options->hex_wordlist	0
TOP.609bd551.0000f6f0	user_options->hook_threads	6
TOP.609bd551.0000f6f0	user_options->increment	0
TOP.609bd551.0000f6f0	user_options->increment_max	256
TOP.609bd551.0000f6f0	user_options->increment_min	1
TOP.609bd551.0000f6f0	user_options->keep_guessing	0
TOP.609bd551.0000f6f0	user_options->kernel_accel	0
TOP.609bd551.0000f6f0	user_options->kernel_loops	0
TOP.609bd551.0000f6f0	user_options->kernel_threads	0
TOP.609bd551.0000f6f0	user_options->keyspace	0
TOP.609bd551.0000f6f0	user_options->left	0
TOP.609bd551.0000f6f0	user_options->logfile_disable	0
TOP.609bd551.0000f6f0	user_options->loopback	0
TOP.609bd551.0000f6f0	user_options->machine_readable	0
TOP.609bd551.0000f6f0	user_options->markov_classic	0
TOP.609bd551.0000f6f0	user_options->markov_disable	0
TOP.609bd551.0000f6f0	user_options->markov_threshold	256
TOP.609bd551.0000f6f0	user_options->backend_info	0
TOP.609bd551.0000f6f0	user_options->backend_vector_width	0
TOP.609bd551.0000f6f0	user_options->optimized_kernel_enable	0
TOP.609bd551.0000f6f0	user_options->outfile_autohex	1
TOP.609bd551.0000f6f0	user_options->outfile_check_timer	5
TOP.609bd551.0000f6f0	user_options->outfile_format	3
TOP.609bd551.0000f6f0	user_options->wordlist_autohex_disable	0
TOP.609bd551.0000f6f0	user_options->potfile_disable	0
TOP.609bd551.0000f6f0	user_options->progress_only	0
TOP.609bd551.0000f6f0	user_options->quiet	0
TOP.609bd551.0000f6f0	user_options->remove	0
TOP.609bd551.0000f6f0	user_options->remove_timer	60
TOP.609bd551.0000f6f0	user_options->restore	0
TOP.609bd551.0000f6f0	user_options->restore_disable	0
TOP.609bd551.0000f6f0	user_options->restore_timer	60
TOP.609bd551.0000f6f0	user_options->rp_files_cnt	0
TOP.609bd551.0000f6f0	user_options->rp_gen	0
TOP.609bd551.0000f6f0	user_options->rp_gen_func_max	4
TOP.609bd551.0000f6f0	user_options->rp_gen_func_min	1
TOP.609bd551.0000f6f0	user_options->rp_gen_seed	0
TOP.609bd551.0000f6f0	user_options->runtime	0
TOP.609bd551.0000f6f0	user_options->scrypt_tmto	0
TOP.609bd551.0000f6f0	user_options->segment_size	33554432
TOP.609bd551.0000f6f0	user_options->self_test_disable	0
TOP.609bd551.0000f6f0	user_options->slow_candidates	0
TOP.609bd551.0000f6f0	user_options->show	0
TOP.609bd551.0000f6f0	user_options->speed_only	0
TOP.609bd551.0000f6f0	user_options->spin_damp	0
TOP.609bd551.0000f6f0	user_options->status	0
TOP.609bd551.0000f6f0	user_options->status_json	0
TOP.609bd551.0000f6f0	user_options->status_timer	10
TOP.609bd551.0000f6f0	user_options->stdout_flag	0
TOP.609bd551.0000f6f0	user_options->usage	0
TOP.609bd551.0000f6f0	user_options->username	0
TOP.609bd551.0000f6f0	user_options->veracrypt_pim_start	485
TOP.609bd551.0000f6f0	user_options->veracrypt_pim_stop	485
TOP.609bd551.0000f6f0	user_options->version	0
TOP.609bd551.0000f6f0	user_options->workload_profile	2
TOP.609bd551.0000f6f0	user_options->brain_client	0
TOP.609bd551.0000f6f0	user_options->brain_client_features	2
TOP.609bd551.0000f6f0	user_options->brain_server	0
TOP.609bd551.0000f6f0	user_options->brain_server_timer	300
TOP.609bd551.0000f6f0	user_options->brain_port	6863
TOP.609bd551.0000f6f0	user_options->brain_session	0
TOP.609bd551.0000f6f0	hashes->hashlist_mode	2
TOP.609bd551.0000f6f0	hashes->hashlist_format	0
TOP.609bd551.0000f6f0	hashes->hashes_cnt	0
TOP.609bd551.0000f6f0	hashes->digests_cnt	1
TOP.609bd551.0000f6f0	hashes->digests_done	0
TOP.609bd551.0000f6f0	hashes->salts_cnt	1
TOP.609bd551.0000f6f0	hashes->salts_done	0
